symbol,rebalance_date,horizon,horizon_days,current_price,p10,p25,median,p75,p90,realized,mu,sigma,kappa,half_life,trend_ann
AAPL,2018-04-10,1mo,21,40.70106887817383,38.04488093015185,39.40514175044905,40.950707596416095,42.64702230618651,44.3640579305485,44.01588821411133,0.20521159180529258,0.20918509628603935,0.00877955442581804,78.9501547506337,0.30038029979831554
AAPL,2018-04-10,3mo,63,40.70106887817383,36.5203033030387,38.76312431910487,41.43453032274665,44.70720389323282,48.03216519452003,44.89078140258789,0.20521159180529258,0.20918509628603935,0.00877955442581804,78.9501547506337,0.30038029979831554
AAPL,2018-04-10,6mo,126,40.70106887817383,34.83761677533466,38.37952171594243,42.5529059907786,47.058070629423696,52.166711689533166,52.95737838745117,0.20521159180529258,0.20918509628603935,0.00877955442581804,78.9501547506337,0.30038029979831554
AAPL,2018-04-10,1yr,252,40.70106887817383,33.54593457774555,38.24173024931704,44.341763765131965,51.483457685532784,59.57624993853007,47.84870910644531,0.20521159180529258,0.20918509628603935,0.00877955442581804,78.9501547506337,0.30038029979831554
AAPL,2018-05-09,1mo,21,44.01588821411133,40.837990889649,42.41727958108862,44.21194286698567,46.19917333940403,47.89178246835342,45.209144592285156,0.21183973967939718,0.222193162746569,0.009324400029628905,74.33692016187891,0.2747357679052346
AAPL,2018-05-09,3mo,63,44.01588821411133,39.04415406190094,41.67191816730834,44.95397711741728,48.34474692957793,51.544206190039596,48.876338958740234,0.21183973967939718,0.222193162746569,0.009324400029628905,74.33692016187891,0.2747357679052346
AAPL,2018-05-09,6mo,126,44.01588821411133,37.8510289808159,41.60271276988313,45.914608356311184,50.896011149586734,56.17093742375907,48.22418975830078,0.21183973967939718,0.222193162746569,0.009324400029628905,74.33692016187891,0.2747357679052346
AAPL,2018-05-09,1yr,252,44.01588821411133,36.05831091324783,41.406386036630735,48.345251007992005,55.96960364527049,65.56401815114211,47.2093505859375,0.21183973967939718,0.222193162746569,0.009324400029628905,74.33692016187891,0.2747357679052346
AAPL,2018-06-08,1mo,21,45.209144592285156,42.115420630315995,43.700421284689554,45.51505552085118,47.47941513383549,49.3311078230258,44.89078140258789,0.2279961015201537,0.21974965723751,0.009372398339958706,73.95622288104747,0.2480648675307918
AAPL,2018-06-08,3mo,63,45.209144592285156,40.77309971553437,43.155985941490655,46.30521696148826,49.82136290910532,53.276639520225864,52.37282180786133,0.2279961015201537,0.21974965723751,0.009372398339958706,73.95622288104747,0.2480648675307918
AAPL,2018-06-08,6mo,126,45.209144592285156,39.01293817691907,42.95115677098886,47.404988406918086,52.8694665444642,57.69842490842837,40.01395034790039,0.2279961015201537,0.21974965723751,0.009372398339958706,73.95622288104747,0.2480648675307918
AAPL,2018-06-08,1yr,252,45.209144592285156,37.51474481769096,42.815425402275594,50.07514691000047,59.03552197041488,67.88544546236965,46.64192199707031,0.2279961015201537,0.21974965723751,0.009372398339958706,73.95622288104747,0.2480648675307918
AAPL,2018-07-10,1mo,21,44.89078140258789,42.01313478514467,43.5376262109636,45.5052785472332,47.32605872995853,49.33071467111294,48.876338958740234,0.28714264046094096,0.21357078719297726,0.009685348010270687,71.56657456447692,0.22805033443813788
AAPL,2018-07-10,3mo,63,44.89078140258789,40.20003120696538,43.03677028438419,46.499344012840766,50.18464489571306,53.45288754898285,52.95737838745117,0.28714264046094096,0.21357078719297726,0.009685348010270687,71.56657456447692,0.22805033443813788
AAPL,2018-07-10,6mo,126,44.89078140258789,38.98051378747136,43.234610043350656,48.074257220923386,53.52944428847995,59.05566739826073,36.40892791748047,0.28714264046094096,0.21357078719297726,0.009685348010270687,71.56657456447692,0.22805033443813788
AAPL,2018-07-10,1yr,252,44.89078140258789,37.23505653381783,42.94121021050787,51.29198540821861,61.005286442040784,70.53772570232351,48.30351257324219,0.28714264046094096,0.21357078719297726,0.009685348010270687,71.56657456447692,0.22805033443813788
AAPL,2018-08-08,1mo,21,48.876338958740234,45.595103594714885,47.39752526011606,49.37920717697173,51.58616608378113,53.56017710477473,52.37282180786133,0.27367736219392125,0.21744336159658334,0.009619211630524085,72.0586267548602,0.2134661157898031
AAPL,2018-08-08,3mo,63,48.876338958740234,43.710357925194494,46.82123115201443,50.37475425318044,54.29816051502099,58.2291813841732,48.22418975830078,0.27367736219392125,0.21744336159658334,0.009619211630524085,72.0586267548602,0.2134661157898031
AAPL,2018-08-08,6mo,126,48.876338958740234,42.41293869270538,46.39013786200862,51.99770236664126,58.17246483292321,64.70145998870505,40.64348220825195,0.27367736219392125,0.21744336159658334,0.009619211630524085,72.0586267548602,0.2134661157898031
AAPL,2018-08-08,1yr,252,48.876338958740234,40.495699510214905,46.68511969300114,55.19685929851185,65.66916166774541,77.00878607976733,48.30438232421875,0.27367736219392125,0.21744336159658334,0.009619211630524085,72.0586267548602,0.2134661157898031
AAPL,2018-09-07,1mo,21,52.37282180786133,49.1753791546383,50.945370531796314,53.00333717839538,55.259956024826096,57.50453447236807,52.95737838745117,0.3315081703907685,0.2151153552847519,0.00877464789356177,78.99430142017765,0.21032865676939588
AAPL,2018-09-07,3mo,63,52.37282180786133,47.26041848270007,50.69028577459741,54.5358829294899,58.49776203430272,62.23558090185276,40.01395034790039,0.3315081703907685,0.2151153552847519,0.00877464789356177,78.99430142017765,0.21032865676939588
AAPL,2018-09-07,6mo,126,52.37282180786133,45.813970454816776,50.49595041265317,56.569233916862224,63.24542226527933,69.89811643641174,43.14778137207031,0.3315081703907685,0.2151153552847519,0.00877464789356177,78.99430142017765,0.21032865676939588
AAPL,2018-09-07,1yr,252,52.37282180786133,43.6343466463172,50.85346063991925,61.19411807559702,73.53764700387731,87.28326285063925,52.08000564575195,0.3315081703907685,0.2151153552847519,0.00877464789356177,78.99430142017765,0.21032865676939588
AAPL,2018-10-08,1mo,21,52.95737838745117,49.69049082462572,51.57518235213131,53.70844590429704,56.077810144130964,58.22563922078391,48.22418975830078,0.3802669474689968,0.2191274746233784,0.009254393920870446,74.89925180262368,0.21978278522436345
AAPL,2018-10-08,3mo,63,52.95737838745117,48.26898628348126,51.733412232200266,55.51895888849721,60.051037867245576,64.57069893819593,36.40892791748047,0.3802669474689968,0.2191274746233784,0.009254393920870446,74.89925180262368,0.21978278522436345
AAPL,2018-10-08,6mo,126,52.95737838745117,46.771300190260284,51.774151664334994,58.006626344688335,65.17955024504042,72.83088343265358,47.84870910644531,0.3802669474689968,0.2191274746233784,0.009254393920870446,74.89925180262368,0.21978278522436345
AAPL,2018-10-08,1yr,252,52.95737838745117,44.20898697149567,51.58842668553737,62.91600707882266,78.23709524331949,93.262042166213,54.5626220703125,0.3802669474689968,0.2191274746233784,0.009254393920870446,74.89925180262368,0.21978278522436345
AAPL,2018-11-06,1mo,21,48.22418975830078,44.65265220357043,46.2708735668019,48.40979365193951,50.6150893941584,52.531368422454264,40.01395034790039,0.1715080103776354,0.24288150675602696,0.011071183828076177,62.60822612322141,0.23655524480191545
AAPL,2018-11-06,3mo,63,48.22418975830078,42.371059584725586,45.455326858026666,49.19580792745464,53.127086991249826,57.024326612392606,40.64348220825195,0.1715080103776354,0.24288150675602696,0.011071183828076177,62.60822612322141,0.23655524480191545
AAPL,2018-11-06,6mo,126,48.22418975830078,40.18910689836185,44.63875012129108,49.88789922353084,55.7166549519993,61.75349277184885,47.2093505859375,0.1715080103776354,0.24288150675602696,0.011071183828076177,62.60822612322141,0.23655524480191545
AAPL,2018-11-06,1yr,252,48.22418975830078,37.63536987903383,44.027996430652884,51.9501679504508,60.984330356722595,71.13583830257105,62.53657913208008,0.1715080103776354,0.24288150675602696,0.011071183828076177,62.60822612322141,0.23655524480191545
AAPL,2018-12-07,1mo,21,40.01395034790039,36.57626222153432,38.28434739034374,40.02630569955373,41.92539087581709,43.91008484973325,36.40892791748047,0.011820092931670523,0.27180785642398664,0.007443894747146247,93.11619845587902,0.251670837538882
AAPL,2018-12-07,3mo,63,40.01395034790039,34.19297256109873,36.747038207763396,40.04393895238167,43.39349190535333,46.3341658816877,43.14778137207031,0.011820092931670523,0.27180785642398664,0.007443894747146247,93.11619845587902,0.251670837538882
