symbol,rebalance_date,config,sent_lookback,sent_strength,pp_lookback,pp_strength,avg_sent,avg_pp,mu_tilt,current_price,mu_base,mu,1mo_median,1mo_realized,1mo_err,1mo_abs_err,1mo_pct_err,1mo_dir_hit,3mo_median,3mo_realized,3mo_err,3mo_abs_err,3mo_pct_err,3mo_dir_hit,6mo_median,6mo_realized,6mo_err,6mo_abs_err,6mo_pct_err,6mo_dir_hit,1yr_median,1yr_realized,1yr_err,1yr_abs_err,1yr_pct_err,1yr_dir_hit
AAPL,2022-04-12,baseline,0,0.0,0,0.0,,,0.0,164.27066040039062,0.2272013014620283,0.2272013014620283,164.8050614720192,139.88328552246094,24.921775949558253,24.921775949558253,17.81612138753817,0,165.91672960953218,145.6823272705078,20.23440233902437,20.23440233902437,13.88940080662801,0,169.24192800668334,135.93109130859375,33.31083669808959,33.31083669808959,24.505678853461564,0,175.18953938983108,162.8507537841797,12.338785605651395,12.338785605651395,7.576744546115856,0
AAPL,2022-04-12,sent_only,21,0.005,0,0.0,,,0.0,164.27066040039062,0.2272013014620283,0.2272013014620283,164.8050614720192,139.88328552246094,24.921775949558253,24.921775949558253,17.81612138753817,0,165.91672960953218,145.6823272705078,20.23440233902437,20.23440233902437,13.88940080662801,0,169.24192800668334,135.93109130859375,33.31083669808959,33.31083669808959,24.505678853461564,0,175.18953938983108,162.8507537841797,12.338785605651395,12.338785605651395,7.576744546115856,0
AAPL,2022-05-12,baseline,0,0.0,0,0.0,,,0.0,139.88328552246094,0.13738606678286747,0.13738606678286747,139.61226186108917,129.40383911132812,10.208422749761041,10.208422749761041,7.888809806468398,1,140.45081425414372,169.10325622558594,-28.652441971442215,28.652441971442215,-16.943755319069364,1,141.9305188759327,144.5519561767578,-2.6214373008251073,2.6214373008251073,-1.813491404861806,1,145.40111350214164,169.84742736816406,-24.44631386602242,24.44631386602242,-14.39310223582733,1
AAPL,2022-05-12,sent_only,21,0.005,0,0.0,,,0.0,139.88328552246094,0.13738606678286747,0.13738606678286747,139.61226186108917,129.40383911132812,10.208422749761041,10.208422749761041,7.888809806468398,1,140.45081425414372,169.10325622558594,-28.652441971442215,28.652441971442215,-16.943755319069364,1,141.9305188759327,144.5519561767578,-2.6214373008251073,2.6214373008251073,-1.813491404861806,1,145.40111350214164,169.84742736816406,-24.44631386602242,24.44631386602242,-14.39310223582733,1
AAPL,2022-06-13,baseline,0,0.0,0,0.0,,,0.0,129.40383911132812,0.016369405837212803,0.016369405837212803,128.97430275141514,145.6823272705078,-16.708024519092675,16.708024519092675,-11.468806705750008,0,129.70818505020918,151.1611785888672,-21.452993538658006,21.452993538658006,-14.192131696066301,1,130.01369080352285,142.2095184326172,-12.195827629094339,12.195827629094339,-8.575957336409278,1,129.9642497792065,181.57395935058594,-51.609709571379426,51.609709571379426,-28.423519405517045,1
AAPL,2022-06-13,sent_only,21,0.005,0,0.0,,,0.0,129.40383911132812,0.016369405837212803,0.016369405837212803,128.97430275141514,145.6823272705078,-16.708024519092675,16.708024519092675,-11.468806705750008,0,129.70818505020918,151.1611785888672,-21.452993538658006,21.452993538658006,-14.192131696066301,1,130.01369080352285,142.2095184326172,-12.195827629094339,12.195827629094339,-8.575957336409278,1,129.9642497792065,181.57395935058594,-51.609709571379426,51.609709571379426,-28.423519405517045,1
AAPL,2022-07-14,baseline,0,0.0,0,0.0,,,0.0,145.6823272705078,0.0011272201459773257,0.0011272201459773257,145.54568639211266,169.10325622558594,-23.55756983347328,23.55756983347328,-13.930878895700966,0,146.38001724902279,135.93109130859375,10.448925940429035,10.448925940429035,7.686928604661647,0,144.68935746245847,131.3043975830078,13.384959879450662,13.384959879450662,10.1938397539115,1,144.02528237232275,191.48428344726562,-47.459001074942876,47.459001074942876,-24.784802293193415,0
AAPL,2022-07-14,sent_only,21,0.005,0,0.0,,,0.0,145.6823272705078,0.0011272201459773257,0.0011272201459773257,145.54568639211266,169.10325622558594,-23.55756983347328,23.55756983347328,-13.930878895700966,0,146.38001724902279,135.93109130859375,10.448925940429035,10.448925940429035,7.686928604661647,0,144.68935746245847,131.3043975830078,13.384959879450662,13.384959879450662,10.1938397539115,1,144.02528237232275,191.48428344726562,-47.459001074942876,47.459001074942876,-24.784802293193415,0
AAPL,2022-08-12,baseline,0,0.0,0,0.0,,,0.0,169.10325622558594,0.1504559226209956,0.1504559226209956,169.82274594620355,151.1611785888672,18.661567357336367,18.661567357336367,12.345476220513383,0,171.00119351926077,144.5519561767578,26.449237342502954,26.449237342502954,18.29739149995375,0,171.04911181288026,151.65296936035156,19.396142452528693,19.396142452528693,12.789820426423946,0,175.8321745199252,175.39443969726562,0.4377348226595643,0.4377348226595643,0.24957166453799992,1
AAPL,2022-08-12,sent_only,21,0.005,0,0.0,,,0.0,169.10325622558594,0.1504559226209956,0.1504559226209956,169.82274594620355,151.1611785888672,18.661567357336367,18.661567357336367,12.345476220513383,0,171.00119351926077,144.5519561767578,26.449237342502954,26.449237342502954,18.29739149995375,0,171.04911181288026,151.65296936035156,19.396142452528693,19.396142452528693,12.789820426423946,0,175.8321745199252,175.39443969726562,0.4377348226595643,0.4377348226595643,0.24957166453799992,1
AAPL,2022-09-13,baseline,0,0.0,0,0.0,,,0.0,151.1611785888672,0.03387026305716212,0.03387026305716212,150.65697214410295,135.93109130859375,14.725880835509201,14.725880835509201,10.833342610395281,1,151.79131511468475,142.2095184326172,9.581796682067562,9.581796682067562,6.737802636331747,0,150.41694603753132,150.8052520751953,-0.38830603766399463,0.38830603766399463,-0.2574884046282257,1,149.32466239937034,173.70425415039062,-24.379591751020286,24.379591751020286,-14.035114954589877,0
AAPL,2022-09-13,sent_only,21,0.005,0,0.0,,,0.0,151.1611785888672,0.03387026305716212,0.03387026305716212,150.65697214410295,135.93109130859375,14.725880835509201,14.725880835509201,10.833342610395281,1,151.79131511468475,142.2095184326172,9.581796682067562,9.581796682067562,6.737802636331747,0,150.41694603753132,150.8052520751953,-0.38830603766399463,0.38830603766399463,-0.2574884046282257,1,149.32466239937034,173.70425415039062,-24.379591751020286,24.379591751020286,-14.035114954589877,0
AAPL,2022-10-12,baseline,0,0.0,0,0.0,,,0.0,135.93109130859375,-0.0170681960546748,-0.0170681960546748,135.96944693730381,144.5519561767578,-8.582509239453998,8.582509239453998,-5.937317948820647,1,135.28384138965765,131.3043975830078,3.97944380664984,3.97944380664984,3.0307010883882404,1,133.9223798327851,162.8507537841797,-28.928373951394576,28.928373951394576,-17.76373352851183,0,131.3726780287044,176.77825927734375,-45.40558124863935,45.40558124863935,-25.68504828266437,0
AAPL,2022-10-12,sent_only,21,0.005,0,0.0,,,0.0,135.93109130859375,-0.0170681960546748,-0.0170681960546748,135.96944693730381,144.5519561767578,-8.582509239453998,8.582509239453998,-5.937317948820647,1,135.28384138965765,131.3043975830078,3.97944380664984,3.97944380664984,3.0307010883882404,1,133.9223798327851,162.8507537841797,-28.928373951394576,28.928373951394576,-17.76373352851183,0,131.3726780287044,176.77825927734375,-45.40558124863935,45.40558124863935,-25.68504828266437,0
AAPL,2022-11-10,baseline,0,0.0,0,0.0,,,0.0,144.5519561767578,-0.0013366469309561424,-0.0013366469309561424,144.15213476142162,142.2095184326172,1.9426163288044336,1.9426163288044336,1.3660241242747047,1,144.31298199279618,151.65296936035156,-7.339987367555381,7.339987367555381,-4.839989219145722,0,143.65699477275209,169.84742736816406,-26.190432595411977,26.190432595411977,-15.419976034515475,0,142.50455833830532,182.89993286132812,-40.39537452302281,40.39537452302281,-22.08605213302618,0
