symbol,rebalance_date,model,tilt_strength,lookback_days,sentiment_score,mu_tilt,current_price,mu_base,mu,1mo_median,1mo_realized,1mo_err,1mo_abs_err,1mo_pct_err,1mo_dir_hit,3mo_median,3mo_realized,3mo_err,3mo_abs_err,3mo_pct_err,3mo_dir_hit,6mo_median,6mo_realized,6mo_err,6mo_abs_err,6mo_pct_err,6mo_dir_hit,1yr_median,1yr_realized,1yr_err,1yr_abs_err,1yr_pct_err,1yr_dir_hit
AAPL,2018-04-13,baseline,0.0,0,,0.0,41.04877471923828,0.22452022346936396,0.22452022346936396,41.19240163413723,44.3719482421875,-3.1795466080502734,3.1795466080502734,-7.165668252148678,1,41.49737253672639,45.12187957763672,-3.6245070409103306,3.6245070409103306,-8.032704033691687,1,42.2739114139635,50.751708984375,-8.477797570411497,8.477797570411497,-16.704457327775046,1,43.79172614844604,47.517181396484375,-3.7254552480383367,3.7254552480383367,-7.840227762991788,1
AAPL,2018-05-14,baseline,0.0,0,,0.0,44.3719482421875,0.2021685130551516,0.2021685130551516,44.43686866626025,44.97330093383789,-0.5364322675776378,0.5364322675776378,-1.1927793967509874,1,44.83436809557578,49.4311408996582,-4.59677280408242,4.59677280408242,-9.299345959692799,1,45.62003480994483,48.55867385864258,-2.9386390486977447,2.9386390486977447,-6.051728383794648,1,47.000301377413216,45.7105598449707,1.2897415324425126,1.2897415324425126,2.821539567261319,1
AAPL,2018-06-13,baseline,0.0,0,,0.0,44.97330093383789,0.2784868369191229,0.2784868369191229,45.227327481662144,45.12187957763672,0.10544790402542503,0.10544790402542503,0.23369572591494409,1,46.17698559374997,52.318397521972656,-6.141411928222688,6.141411928222688,-11.738532178175795,1,47.336644508858484,40.158809661865234,7.17783484699325,7.17783484699325,17.873624510861223,0,49.260077224033964,46.146305084228516,3.113772139805448,3.113772139805448,6.747608793644557,1
AAPL,2018-07-13,baseline,0.0,0,,0.0,45.12187957763672,0.2737680523685815,0.2737680523685815,45.510605949021425,49.4311408996582,-3.920534950636778,3.920534950636778,-7.931305811037606,1,46.374816612884246,50.751708984375,-4.376892371490754,4.376892371490754,-8.624128052196774,1,47.188689347913375,35.62284469604492,11.565844651868453,11.565844651868453,32.46749312289641,0,48.977883855980615,48.961917877197266,0.015965978783349044,0.015965978783349044,0.032608973413569615,1
AAPL,2018-08-13,baseline,0.0,0,,0.0,49.4311408996582,0.2974202533817669,0.2974202533817669,49.89510027751099,52.318397521972656,-2.423297244461665,2.423297244461665,-4.6318262011827285,1,50.63203578422689,48.55867385864258,2.073361925584315,2.073361925584315,4.269807556153624,0,51.45563842247951,40.58864212036133,10.866996302118181,10.866996302118181,26.773490647687233,0,54.04799307531901,48.727378845214844,5.3206142301041695,5.3206142301041695,10.919147214967973,0
AAPL,2018-09-12,baseline,0.0,0,,0.0,52.318397521972656,0.3329521134492506,0.3329521134492506,52.58938943991953,50.751708984375,1.837680455544529,1.837680455544529,3.6209232995686866,0,53.96317855348955,40.158809661865234,13.804368891624314,13.804368891624314,34.374447369970056,0,54.93530530262777,44.39039611816406,10.544909184463705,10.544909184463705,23.75493373925727,0,57.8458985557562,52.57270050048828,5.273198055267919,5.273198055267919,10.030297102997292,1
AAPL,2018-10-11,baseline,0.0,0,,0.0,50.751708984375,0.3297082829895497,0.3297082829895497,51.33885786570668,48.55867385864258,2.7801840070641006,2.7801840070641006,5.725411725940859,0,52.28149343107702,35.62284469604492,16.658648735032095,16.658648735032095,46.76394846389583,0,53.38291768993684,47.517181396484375,5.865736293452464,5.865736293452464,12.344453355742285,0,55.69947224710596,56.68717956542969,-0.9877073183237286,0.9877073183237286,-1.742382185699843,1
AAPL,2018-11-09,baseline,0.0,0,,0.0,48.55867385864258,0.16910903572858205,0.16910903572858205,48.717082486553636,40.158809661865234,8.558272824688402,8.558272824688402,21.311071958428414,0,49.168687721667666,40.58864212036133,8.580045601306338,8.580045601306338,21.13903090392411,0,49.907316180494995,45.7105598449707,4.196756335524292,4.196756335524292,9.18115277904661,0,51.32514851452706,63.14646530151367,-11.821316786986614,11.821316786986614,-18.720472682899715,1
AAPL,2018-12-12,baseline,0.0,0,,0.0,40.158809661865234,-0.005990631531969548,-0.005990631531969548,40.18430222897989,35.62284469604492,4.561457532934966,4.561457532934966,12.804866011841579,0,40.10116899645102,44.39039611816406,-4.28922712171304,4.28922712171304,-9.662511481752547,0,40.32295379526278,46.146305084228516,-5.823351288965739,5.823351288965739,-12.61932299527919,1,39.9770593604951,65.43648529052734,-25.459425930032246,25.459425930032246,-38.90708038030548,0
AAPL,2019-01-14,baseline,0.0,0,,0.0,35.62284469604492,-0.14084755108075564,-0.14084755108075564,35.37253040098835,40.58864212036133,-5.216111719372975,5.216111719372975,-12.851160932916027,0,35.10082333293404,47.517181396484375,-12.416358063550334,12.416358063550334,-26.13024951953269,0,34.7751073934663,48.961917877197266,-14.186810483730966,14.186810483730966,-28.97519357659415,0,33.39533456493409,75.3726806640625,-41.97734609912841,41.97734609912841,-55.69305181836673,0
AAPL,2019-02-13,baseline,0.0,0,,0.0,40.58864212036133,0.06000016157867494,0.06000016157867494,40.57486722688482,44.39039611816406,-3.815528891279243,3.815528891279243,-8.595392753699645,0,40.99176554879604,45.7105598449707,-4.718794296174664,4.718794296174664,-10.323203899008575,1,40.695220946617354,48.727378845214844,-8.03215789859749,8.03215789859749,-16.483870236714505,1,41.28844667912661,78.49700164794922,-37.20855496882261,37.20855496882261,-47.401243598703374,1
AAPL,2019-03-15,baseline,0.0,0,,0.0,44.39039611816406,0.05725186514644909,0.05725186514644909,44.351216426034156,47.517181396484375,-3.1659649704502186,3.1659649704502186,-6.662779393485778,0,44.44236161014504,46.146305084228516,-1.7039434740834736,1.7039434740834736,-3.692480841041015,1,44.532081620739696,52.57270050048828,-8.040618879748585,8.040618879748585,-15.294285443210029,1,43.952164338570654,58.52422332763672,-14.572058989066065,14.572058989066065,-24.899192437782844,0
AAPL,2019-04-15,baseline,0.0,0,,0.0,47.517181396484375,0.1463303722912559,0.1463303722912559,47.76389979682759,45.7105598449707,2.0533399518568842,2.0533399518568842,4.492047261772495,0,48.20700723770973,48.961917877197266,-0.7549106394875338,0.7549106394875338,-1.5418322488529677,1,48.197843802233514,56.68717956542969,-8.489335763196173,8.489335763196173,-14.97575964843617,1,49.45019687674448,68.72565460205078,-19.275457725306303,19.275457725306303,-28.046961264929326,1
AAPL,2019-05-15,baseline,0.0,0,,0.0,45.7105598449707,0.029721866601976288,0.029721866601976288,45.591280558279166,46.146305084228516,-0.5550245259493494,0.5550245259493494,-1.2027496566329443,0,45.53115483362732,48.727378845214844,-3.1962240115875247,3.1962240115875247,-6.559400664132793,0,45.54381015195761,63.14646530151367,-17.602655149556064,17.602655149556064,-27.87591524799744,0,46.0064020971374,74.99534606933594,-28.988943972198534,28.988943972198534,-38.65432389017472,1
AAPL,2019-06-14,baseline,0.0,0,,0.0,46.146305084228516,0.02574789345394013,0.02574789345394013,45.97431761701538,48.961917877197266,-2.9876002601818854,2.9876002601818854,-6.1018856893538524,0,45.94632676274884,52.57270050048828,-6.626373737739442,6.626373737739442,-12.604210311923957,0,45.83871396468026,65.43648529052734,-19.597771325847084,19.597771325847084,-29.94930311253144,0,45.83436415915858,83.099609375,-37.26524521584142,37.26524521584142,-44.84406785557338,0
AAPL,2019-07-16,baseline,0.0,0,,0.0,48.961917877197266,0.08167554613729022,0.08167554613729022,48.84263748270567,48.727378845214844,0.11525863749082532,0.11525863749082532,0.23653773345155837,1,49.22801386261307,56.68717956542969,-7.45916570281662,7.45916570281662,-13.158470327857948,1,49.126108279785015,75.3726806640625,-26.246572384277485,26.246572384277485,-34.822394736441666,1,49.76792678771493,94.70724487304688,-44.93931808533195,44.93931808533195,-47.450771211402234,1
AAPL,2019-08-14,baseline,0.0,0,,0.0,48.727378845214844,-0.014339542106762693,-0.014339542106762693,48.67068018824796,52.57270050048828,-3.9020203122403245,3.9020203122403245,-7.4221416725665135,0,48.22044354401834,63.14646530151367,-14.926021757495334,14.926021757495334,-23.637145303741246,0,48.10352292267969,78.49700164794922,-30.39347872526953,30.39347872526953,-38.71928619844753,0,47.81380271444466,111.6594467163086,-63.84564400186393,63.84564400186393,-57.17890055829808,0
AAPL,2019-09-13,baseline,0.0,0,,0.0,52.57270050048828,0.004848904846485702,0.004848904846485702,52.64133944976045,56.68717956542969,-4.045840115669236,4.045840115669236,-7.137134263311569,1,52.210520941508065,65.43648529052734,-13.225964349019279,13.225964349019279,-20.21191127594667,0,51.9965443940196,58.52422332763672,-6.527678933617118,6.527678933617118,-11.153807026319939,0,51.58802729735412,111.99925994873047,-60.41123265137635,60.41123265137635,-53.93895698867171,0
AAPL,2019-10-14,baseline,0.0,0,,0.0,56.68717956542969,0.11060278328596063,0.11060278328596063,56.598569635904006,63.14646530151367,-6.547895665609666,6.547895665609666,-10.369377976019042,0,57.1016115455747,75.3726806640625,-18.2710691184878,18.2710691184878,-24.240970279300946,1,56.837932394034866,68.72565460205078,-11.887722208015916,11.887722208015916,-17.29735755425047,1,57.00645661560536,117.572021484375,-60.56556486876964,60.56556486876964,-51.51358639931068,1
AAPL,2019-11-12,baseline,0.0,0,,0.0,63.14646530151367,0.262684037131641,0.262684037131641,63.52990020382636,65.43648529052734,-1.9065850867009857,1.9065850867009857,-2.9136422566647004,1,64.05057360929939,78.49700164794922,-14.446428038649827,14.446428038649827,-18.40379598629835,1,65.34314863631742,74.99534606933594,-9.652197433018515,9.652197433018515,-12.8703952163841,1,67.28827991475582,116.2090835571289,-48.92080364237309,48.92080364237309,-42.097228671735806,1
AAPL,2019-12-12,baseline,0.0,0,,0.0,65.43648529052734,0.4882381469161241,0.4882381469161241,66.13804182015171,75.3726806640625,-9.234638843910787,9.234638843910787,-12.251970823579637,1,67.46673995426798,58.52422332763672,8.94251662663126,8.94251662663126,15.280026146726088,0,69.87150546756706,83.099609375,-13.228103907432939,13.228103907432939,-15.918370744366616,1,75.06961539563325,119.04891204833984,-43.979296652706594,43.979296652706594,-36.94220795134087,1
AAPL,2020-01-14,baseline,0.0,0,,0.0,75.3726806640625,0.7494577469493997,0.7494577469493997,77.01986504017685,78.49700164794922,-1.4771366077723656,1.4771366077723656,-1.8817745605076326,1,80.28020806869179,68.72565460205078,11.55455346664101,11.55455346664101,16.812576807811478,0,83.93291244492443,94.70724487304688,-10.774332428122449,10.774332428122449,-11.376460631459844,1,90.0340205517829,127.29606628417969,-37.262045732396786,37.262045732396786,-29.27195381608402,1
AAPL,2020-02-13,baseline,0.0,0,,0.0,78.49700164794922,0.6595721517512318,0.6595721517512318,80.02626539883856,58.52422332763672,21.502042071201842,21.502042071201842,36.74041422271724,0,82.88100318382624,74.99534606933594,7.8856571144903,7.8856571144903,10.514861958500362,0,87.70081397566896,111.6594467163086,-23.95863274063963,23.95863274063963,-21.456879328366146,1,95.61618123810541,131.84976196289062,-36.23358072478521,36.23358072478521,-27.480960287955032,1
AAPL,2020-03-16,baseline,0.0,0,,0.0,58.52422332763672,0.2764176001133176,0.2764176001133176,58.873245641068536,68.72565460205078,-9.852408960982245,9.852408960982245,-14.335853209448002,1,59.307161789680556,83.099609375,-23.792447585319444,23.792447585319444,-28.631238779898833,1,59.852820577127844,111.99925994873047,-52.146439371602625,52.146439371602625,-46.55962851493262,1,61.5579239915358,122.30462646484375,-60.74670247330795,60.74670247330795,-49.66836024863661,1
AAPL,2020-04-15,baseline,0.0,0,,0.0,68.72565460205078,0.36903119970574405,0.36903119970574405,69.1392298968244,74.99534606933594,-5.856116172511534,5.856116172511534,-7.808639441569268,1,70.59904241618172,94.70724487304688,-24.108202456865158,24.108202456865158,-25.45549972357628,1,72.76554369166102,117.572021484375,-44.80647779271398,44.80647779271398,-38.109813225137614,1,75.36039373781117,131.00242614746094,-55.64203240964977,55.64203240964977,-42.47404727223689,1
