symbol,rebalance_date,config,sent_lookback,sent_strength,pp_lookback,pp_strength,avg_sent,avg_pp,mu_tilt,current_price,mu_base,mu,1mo_median,1mo_realized,1mo_err,1mo_abs_err,1mo_pct_err,1mo_dir_hit,3mo_median,3mo_realized,3mo_err,3mo_abs_err,3mo_pct_err,3mo_dir_hit,6mo_median,6mo_realized,6mo_err,6mo_abs_err,6mo_pct_err,6mo_dir_hit,1yr_median,1yr_realized,1yr_err,1yr_abs_err,1yr_pct_err,1yr_dir_hit
GME,2022-04-12,baseline,0,0.0,0,0.0,,,0.0,36.217498779296875,-0.07714192941207168,-0.07714192941207168,34.96798998793983,22.392499923706055,12.575490064233776,12.575490064233776,56.15938420042419,1,33.42714202445936,34.04999923706055,-0.6228572126011898,0.6228572126011898,-1.8292429561151422,1,31.945375136905923,25.360000610351562,6.585374526554361,6.585374526554361,25.96756454282699,1,28.25178217686272,22.459999084472656,5.791783092390062,5.791783092390062,25.787102976304727,1
GME,2022-04-12,sent_only,21,0.005,0,0.0,,,0.0,36.217498779296875,-0.07714192941207168,-0.07714192941207168,34.96798998793983,22.392499923706055,12.575490064233776,12.575490064233776,56.15938420042419,1,33.42714202445936,34.04999923706055,-0.6228572126011898,0.6228572126011898,-1.8292429561151422,1,31.945375136905923,25.360000610351562,6.585374526554361,6.585374526554361,25.96756454282699,1,28.25178217686272,22.459999084472656,5.791783092390062,5.791783092390062,25.787102976304727,1
GME,2022-05-12,baseline,0,0.0,0,0.0,,,0.0,22.392499923706055,-0.6078901311254432,-0.6078901311254432,21.26272396129177,29.5625,-8.29977603870823,8.29977603870823,-28.075352350810086,0,19.928173480066548,40.7400016784668,-20.81182819840025,20.81182819840025,-51.08450500972948,0,17.778338977381786,24.8799991607666,-7.101660183384816,7.101660183384816,-28.54365121757504,0,14.805055459058815,21.6200008392334,-6.814945380174583,6.814945380174583,-31.521485271210693,1
GME,2022-05-12,sent_only,21,0.005,0,0.0,,,0.0,22.392499923706055,-0.6078901311254432,-0.6078901311254432,21.26272396129177,29.5625,-8.29977603870823,8.29977603870823,-28.075352350810086,0,19.928173480066548,40.7400016784668,-20.81182819840025,20.81182819840025,-51.08450500972948,0,17.778338977381786,24.8799991607666,-7.101660183384816,7.101660183384816,-28.54365121757504,0,14.805055459058815,21.6200008392334,-6.814945380174583,6.814945380174583,-31.521485271210693,1
GME,2022-06-13,baseline,0,0.0,0,0.0,,,0.0,29.5625,-0.6628405406799303,-0.6628405406799303,28.416590880331235,34.04999923706055,-5.633408356729312,5.633408356729312,-16.544518305298002,0,27.055959392804482,27.850000381469727,-0.7940409886652446,0.7940409886652446,-2.8511345701580946,1,24.494857123210117,22.670000076293945,1.824857046916172,1.824857046916172,8.049656112813286,1,19.827307933374573,25.700000762939453,-5.87269282956488,5.87269282956488,-22.8509441837588,1
GME,2022-06-13,sent_only,21,0.005,0,0.0,,,0.0,29.5625,-0.6628405406799303,-0.6628405406799303,28.416590880331235,34.04999923706055,-5.633408356729312,5.633408356729312,-16.544518305298002,0,27.055959392804482,27.850000381469727,-0.7940409886652446,0.7940409886652446,-2.8511345701580946,1,24.494857123210117,22.670000076293945,1.824857046916172,1.824857046916172,8.049656112813286,1,19.827307933374573,25.700000762939453,-5.87269282956488,5.87269282956488,-22.8509441837588,1
GME,2022-07-14,baseline,0,0.0,0,0.0,,,0.0,34.04999923706055,-0.207575112231543,-0.207575112231543,33.561741517405714,40.7400016784668,-7.178260161061083,7.178260161061083,-17.619685481886382,0,32.69015507849248,25.360000610351562,7.330154468140918,7.330154468140918,28.9043938948048,1,30.0750937082673,20.6299991607666,9.445094547500698,9.445094547500698,45.78330068700653,1,27.47154599148485,22.81999969482422,4.65154629666063,4.65154629666063,20.38363873298229,1
GME,2022-07-14,sent_only,21,0.005,0,0.0,,,0.0,34.04999923706055,-0.207575112231543,-0.207575112231543,33.561741517405714,40.7400016784668,-7.178260161061083,7.178260161061083,-17.619685481886382,0,32.69015507849248,25.360000610351562,7.330154468140918,7.330154468140918,28.9043938948048,1,30.0750937082673,20.6299991607666,9.445094547500698,9.445094547500698,45.78330068700653,1,27.47154599148485,22.81999969482422,4.65154629666063,4.65154629666063,20.38363873298229,1
GME,2022-08-12,baseline,0,0.0,0,0.0,,,0.0,40.7400016784668,0.003750276974375577,0.003750276974375577,40.11467432833081,27.850000381469727,12.26467394686108,12.26467394686108,44.038325956438776,1,38.9119131834061,24.8799991607666,14.031914022639498,14.031914022639498,56.39837016058463,1,36.87738162180227,19.690000534057617,17.187381087744654,17.187381087744654,87.28989650363795,1,33.954007449839644,19.329999923706055,14.624007526133589,14.624007526133589,75.65446241000188,1
GME,2022-08-12,sent_only,21,0.005,0,0.0,,,0.0,40.7400016784668,0.003750276974375577,0.003750276974375577,40.11467432833081,27.850000381469727,12.26467394686108,12.26467394686108,44.038325956438776,1,38.9119131834061,24.8799991607666,14.031914022639498,14.031914022639498,56.39837016058463,1,36.87738162180227,19.690000534057617,17.187381087744654,17.187381087744654,87.28989650363795,1,33.954007449839644,19.329999923706055,14.624007526133589,14.624007526133589,75.65446241000188,1
