symbol,rebalance_date,config,sent_lookback,sent_strength,pp_lookback,pp_strength,avg_sent,avg_pp,mu_tilt,current_price,mu_base,mu,1mo_median,1mo_realized,1mo_err,1mo_abs_err,1mo_pct_err,1mo_dir_hit,3mo_median,3mo_realized,3mo_err,3mo_abs_err,3mo_pct_err,3mo_dir_hit,6mo_median,6mo_realized,6mo_err,6mo_abs_err,6mo_pct_err,6mo_dir_hit,1yr_median,1yr_realized,1yr_err,1yr_abs_err,1yr_pct_err,1yr_dir_hit
AAPL,2022-04-12,baseline,0,0.0,0,0.0,,,0.0,164.2706756591797,0.22720151166141483,0.22720151166141483,164.80507980016264,139.88328552246094,24.921794277701707,24.921794277701707,17.8161344899924,0,165.91674293445112,145.6823272705078,20.23441566394331,20.23441566394331,13.889409953186272,0,169.2419600593733,135.93109130859375,33.31086875077955,33.31086875077955,24.50570243356355,0,175.18954155219197,162.85073852539062,12.338803026801344,12.338803026801344,7.5767559536597116,0
AAPL,2022-04-12,sent_only,21,0.005,0,0.0,,,0.0,164.2706756591797,0.22720151166141483,0.22720151166141483,164.80507980016264,139.88328552246094,24.921794277701707,24.921794277701707,17.8161344899924,0,165.91674293445112,145.6823272705078,20.23441566394331,20.23441566394331,13.889409953186272,0,169.2419600593733,135.93109130859375,33.31086875077955,33.31086875077955,24.50570243356355,0,175.18954155219197,162.85073852539062,12.338803026801344,12.338803026801344,7.5767559536597116,0
AAPL,2022-05-12,baseline,0,0.0,0,0.0,,,0.0,139.88328552246094,0.13738600420939662,0.13738600420939662,139.6122635271699,129.40380859375,10.208454933419887,10.208454933419887,7.888836537623313,1,140.45081726239707,169.10325622558594,-28.65243896318887,28.65243896318887,-16.943753540124707,1,141.93052371092853,144.5519256591797,-2.6214019482511617,2.6214019482511617,-1.8134673310626293,1,145.40110502620092,169.847412109375,-24.446307083174077,24.446307083174077,-14.39309953538275,1
AAPL,2022-05-12,sent_only,21,0.005,0,0.0,,,0.0,139.88328552246094,0.13738600420939662,0.13738600420939662,139.6122635271699,129.40380859375,10.208454933419887,10.208454933419887,7.888836537623313,1,140.45081726239707,169.10325622558594,-28.65243896318887,28.65243896318887,-16.943753540124707,1,141.93052371092853,144.5519256591797,-2.6214019482511617,2.6214019482511617,-1.8134673310626293,1,145.40110502620092,169.847412109375,-24.446307083174077,24.446307083174077,-14.39309953538275,1
AAPL,2022-06-13,baseline,0,0.0,0,0.0,,,0.0,129.40380859375,0.016369170005092748,0.016369170005092748,128.9742726038506,145.6823272705078,-16.708054666657205,16.708054666657205,-11.468827399793751,0,129.70815408373073,151.1611785888672,-21.453024505136455,21.453024505136455,-14.192152181801287,1,130.01365948306182,142.2095184326172,-12.195858949555372,12.195858949555372,-8.575979360575719,1,129.9642178501286,181.57394409179688,-51.609726241668284,51.609726241668284,-28.423530975114126,1
AAPL,2022-06-13,sent_only,21,0.005,0,0.0,,,0.0,129.40380859375,0.016369170005092748,0.016369170005092748,128.9742726038506,145.6823272705078,-16.708054666657205,16.708054666657205,-11.468827399793751,0,129.70815408373073,151.1611785888672,-21.453024505136455,21.453024505136455,-14.192152181801287,1,130.01365948306182,142.2095184326172,-12.195858949555372,12.195858949555372,-8.575979360575719,1,129.9642178501286,181.57394409179688,-51.609726241668284,51.609726241668284,-28.423530975114126,1
AAPL,2022-07-14,baseline,0,0.0,0,0.0,,,0.0,145.6823272705078,0.0011274298625663093,0.0011274298625663093,145.5456882448277,169.10325622558594,-23.55756798075825,23.55756798075825,-13.930877800089284,0,146.38002139296597,135.93109130859375,10.448930084372222,10.448930084372222,7.686931653223346,0,144.6893684399451,131.3043975830078,13.384970856937286,13.384970856937286,10.193848114245828,1,144.02528397762185,191.48428344726562,-47.45899946964377,47.45899946964377,-24.78480145484832,0
AAPL,2022-07-14,sent_only,21,0.005,0,0.0,,,0.0,145.6823272705078,0.0011274298625663093,0.0011274298625663093,145.5456882448277,169.10325622558594,-23.55756798075825,23.55756798075825,-13.930877800089284,0,146.38002139296597,135.93109130859375,10.448930084372222,10.448930084372222,7.686931653223346,0,144.6893684399451,131.3043975830078,13.384970856937286,13.384970856937286,10.193848114245828,1,144.02528397762185,191.48428344726562,-47.45899946964377,47.45899946964377,-24.78480145484832,0
AAPL,2022-08-12,baseline,0,0.0,0,0.0,,,0.0,169.10325622558594,0.1504559226209956,0.1504559226209956,169.8227451770662,151.1611785888672,18.66156658819901,18.66156658819901,12.345475711694013,0,171.00119693579575,144.5519256591797,26.44927127661606,26.44927127661606,18.297418838250124,0,171.04911001103912,151.65298461914062,19.396125391898494,19.396125391898494,12.78980788977525,0,175.83216738656841,175.3944549560547,0.4377124305137272,0.4377124305137272,0.24955887609069322,1
AAPL,2022-08-12,sent_only,21,0.005,0,0.0,,,0.0,169.10325622558594,0.1504559226209956,0.1504559226209956,169.8227451770662,151.1611785888672,18.66156658819901,18.66156658819901,12.345475711694013,0,171.00119693579575,144.5519256591797,26.44927127661606,26.44927127661606,18.297418838250124,0,171.04911001103912,151.65298461914062,19.396125391898494,19.396125391898494,12.78980788977525,0,175.83216738656841,175.3944549560547,0.4377124305137272,0.4377124305137272,0.24955887609069322,1
